time,action,metric0,metric2,metric1,metric3,metric4,metric5,metric6,metric7,metric8,metric9,metric10,metric11,metric12,metric13,metric14,metric15,metric16,metric17,metric18,metric19,metric20,metric21,metric22,metric23,metric24,metric25,metric26,metric27,metric28,metric29,metric30,metric31,metric32,metric33,metric34,metric35,metric36,metric37,metric38,metric39,metric40,metric41,metric42,metric43,metric44,metric45
1641822915400,-1,0.3144082211549032,0.09446560515388373,8.0,0.6999130298116467,72345.86750000001,3.5038725,123196.48834250002,69972.98292682927,4.373559431273171,120327.40882711655,53153.40185185185,3.3192525040833334,91469.62116299104,23.08125,616035.8,615897.6,13568.825,296.125,1.227285749E8,1.68820736E9,1.362057232384E11,1.3054001331E9,380.53125,0.008025000000000001,4.35428125,1.02258688E8,2.8416102375E8,5.72433302375E7,53.0,56.0,56.0,9.333333333333334,2932.8,-0.10743004361783898,16384.0,505.1875,1.64181643464825E9,6335.307025,0.11314289211388888,45.85,45.85,0.0,18.5,-0.10542654559067001,2.832625,0.4
1641823218636,-1,0.2119443195695372,0.09446560515388373,7.0,0.7257033555803333,81264.14857142858,3.474857142857143,138568.61658857143,74192.69210526315,4.302322126084211,127787.35129814903,55308.62352941177,3.2033666073764704,95329.5091845803,23.064285714285713,609524.1142857142,609487.0428571429,13570.385714285714,241.42857142857142,1.2904484045714286E8,1.68820736E9,1.5310713557577142E11,1.426993954057143E9,411.9714285714286,0.009628571428571429,4.731378571428571,1.0854519954285714E8,2.8416102375E8,6.217721024285714E7,52.57142857142857,55.57142857142857,55.57142857142857,9.261904761904763,3351.7714285714287,-0.13122525914879904,16384.0,431.8142857142857,1.6418157245587142E9,7347.001942857144,0.38524754818,41.0,41.0,0.0,18.285714285714285,-0.12971762405394813,1.8844285714285713,0.35
1641823521486,-1,0.2665284014230286,0.09446560515388373,6.0,0.7645059846857242,83163.32857142857,3.4886257142857144,141602.0117,75939.43421052632,3.768677720236842,130612.56945984291,56611.40588235294,2.807792772811765,97436.18867341343,22.964285714285715,609324.0,609316.1857142857,13570.857142857143,241.42857142857142,1.2933953588571429E8,1.68820736E9,1.5644331493668573E11,1.4288698305142858E9,416.2714285714286,0.0056214285714285715,4.762871428571429,1.085667328E8,2.8416102375E8,6.0374375E7,52.714285714285715,55.857142857142854,56.0,9.30952380952381,3351.7714285714287,-0.1292154652699585,16384.0,451.85714285714283,1.6418157245587142E9,7628.063785714286,0.7770377229,36.635000000000005,36.635000000000005,0.0,18.285714285714285,-0.12749827787805948,2.351142857142857,0.305
1641823824296,-1,0.5078575809920195,0.09446560515388373,5.0,0.8117094679768633,106225.028,3.520484,181838.74634399998,82210.759375,3.52855520013125,142215.83774175463,58492.16,2.5077855114555554,101253.84164939576,26.78,694889.76,694873.9,13573.0,213.0,1.4392944864000002E8,1.68820736E9,2.0120195825664E11,1.79898440352E9,517.99,0.008029999999999999,5.532629999999999,1.2011442175999999E8,2.8416102375E8,6.960815726E7,57.6,60.6,60.6,10.1,4692.4,-0.18082948287187825,16384.0,649.24,1.6418135122174E9,10163.54034,1.03669289928,31.3,31.3,0.0,20.8,-0.1786135433159821,2.402,0.25
1641824126928,-1,0.6791815444968308,0.08501904463849536,4.0,0.7664035253193999,126646.76999999999,6.53271,217532.915625,89573.1357142857,7.593656530871429,155483.05392547324,59748.70952380953,5.771120922029762,103794.68246694608,41.175,689158.8,689119.75,13554.7,183.25,1.604674176E8,1.68820736E9,2.4137042493440002E11,2.0987914148000002E9,597.05,0.02025,6.409,1.312159232E8,2.8416102375E8,7.27138999E7,56.0,59.0,59.0,9.833333333333334,6147.8949999999995,-0.22041704176190893,16384.0,1207.35,1.641811690576E9,12284.474175,1.2507520973344444,26.0,26.0,0.045,20.0,-0.21637491254402902,3.7692499999999995,0.2
1641824429726,1,0.9109441231390305,0.09446560515388373,3.0,0.8630947994032777,155445.70666666667,11.44492,272141.07789333333,104491.34090909091,11.802018058372727,185212.409544741,63891.169444444444,9.38350116758135,113342.08907408698,92.35000000000001,836105.3333333334,836095.5499999999,13522.333333333334,200.33333333333334,2.6367058E8,1.68820736E9,3.0200956627626666E11,2.8997565317333336E9,760.4333333333334,0.019433333333333334,7.645016666666667,1.3623514453333333E8,2.8416102375E8,8.872670726666667E7,58.666666666666664,61.666666666666664,61.666666666666664,10.277777777777779,9342.04,-0.30907456347240153,16384.0,1937.8,1.6418086543666668E9,15619.703933333332,1.7428262028616666,20.505000000000003,20.505000000000003,0.03,21.333333333333332,-0.30351865912923787,4.901666666666666,0.15
1641824731674,0,0.7147771453223378,0.08265740450964827,4.0,0.6939821388526958,121720.47375,11.04155375,218966.89569374998,85086.39464285714,12.293445623569642,155677.66899535756,54175.56363636363,9.591594965213554,99219.39321476966,65.6,726760.7,726714.2,13551.53125,256.25,1.804324117E8,1.68820736E9,2.380021301248E11,2.52627261265E9,603.9125,0.030725,6.258853125,1.2155228160000001E8,2.8416102375E8,7.28780777875E7,55.75,58.75,58.75,9.791666666666666,7422.28125,-0.2253951820887389,16384.0,1663.775,1.64181259912575E9,11983.42648125,1.4224701108522222,25.225,25.225,0.045,20.0,-0.22037790097701968,4.7390625,0.19
1641825034015,0,0.6708771969509673,0.08738068476734245,4.0,0.7856156897999103,126324.81666666668,12.776713888888889,232389.19541833334,88146.33730158731,12.359280057477777,165381.35593283526,51446.05486111111,10.381960135281597,96642.28133824708,68.05694444444444,755147.9444444445,755386.8777777778,13553.2,256.25,2.6045511937777779E8,1.68820736E9,2.5377708878506665E11,2.8319090326444445E9,635.4319444444445,0.0518,7.0069,1.33539584E8,2.8416102375E8,8.32898808E7,56.0,59.0,59.0,9.829166666666667,10663.689999999999,-0.22369675449870272,16384.0,1606.375,1.64181259912575E9,12283.43205,1.3246527803250001,27.139999999999997,27.139999999999997,0.06,20.0,-0.21887363163281331,6.595000000000001,0.2
1641825335546,-1,0.7131264142184323,0.09446560515388373,4.0,0.8467642381474281,132340.88499999998,11.716809999999999,248311.66628,91716.57142857143,11.702380652264285,176462.75789390368,53528.74583333334,8.08021741976875,103122.8207369283,70.4875,751762.975,751716.1,13554.5,256.25,2.109186714E8,1.68820736E9,2.664365293568E11,3.0978136616E9,663.1875,0.037899999999999996,7.511975,1.336098304E8,2.8416102375E8,7.784133155E7,56.0,59.0,59.0,9.833333333333334,10948.98,-0.2266012285462291,16384.0,1605.2,1.64181259912575E9,12583.4235,1.35844201185,27.2,27.2,0.0,20.0,-0.2213464899181192,5.52975,0.2
1641825637763,0,0.7757675367577882,0.08816789814362483,3.0,0.8561875573937696,136306.44,14.792525000000001,259534.846215,94280.03214285713,12.5415250375,183578.9355845764,55024.354166666664,10.46624746105625,107300.48744928297,63.987500000000004,728583.6,728554.3,13555.25,256.25,2.3362282779999998E8,1.68820736E9,2.821179834368E11,3.297164832E9,685.3625,0.0410875,7.8938,1.336479232E8,2.8416102375E8,7.8937330275E7,56.25,59.5,59.75,9.916666666666666,13596.075,-0.22470804378241166,16384.0,1621.05,1.64181259912575E9,12849.674825,1.610813266305,21.619999999999997,21.619999999999997,0.0,20.0,-0.2196173571722885,5.33,0.155
